user_id,author_original,total_comments,query_comments,candidate_comments
user_0362,lotsofpulp,1000,0,500
user_0363,lostmsu,1000,500,500
user_0364,lostlogin,1000,500,500
user_0365,lordnacho,1000,0,500
user_0366,londons_explore,1000,0,500
user_0367,lolinder,1000,500,500
user_0368,logicchains,1000,500,500
user_0369,logicallee,1000,0,500
user_0370,logfromblammo,1000,0,500
user_0371,loeg,1000,500,500
user_0372,loceng,1000,500,500
user_0373,lmm,1000,0,500
user_0374,lm28469,1000,500,500
user_0375,potatolicious,1000,0,500
user_0376,prawn,1000,0,500
user_0377,prepend,1000,0,500
user_0378,tracker1,1000,0,500
user_0379,tsimionescu,1000,500,500
user_0380,tshaddox,1000,500,500
user_0381,true_religion,1000,0,500
user_0382,tromp,1000,0,500
user_0383,tripzilch,1000,500,500
user_0384,triceratops,1000,0,500
user_0385,trhway,1000,0,500
user_0386,tremon,1000,0,500
user_0387,treis,1000,0,500
user_0388,tptacek,1000,500,500
user_0389,tomc1985,1000,500,500
user_0390,toyg,1000,500,500
user_0391,toss1,1000,500,500
user_0392,tootie,1000,500,500
user_0393,toomuchtodo,1000,0,500
user_0394,tonyedgecombe,1000,0,500
user_0395,tomrod,1000,500,500
user_0396,tomp,1000,0,500
user_0397,tomjen3,1000,0,500
user_0398,tome,1000,0,500
user_0399,tw04,1000,0,500
user_0400,twblalock,1000,500,500
user_0401,twic,1000,0,500
user_0402,twoodfin,1000,0,500
user_0403,vanderZwan,1000,0,500
user_0404,valuearb,1000,0,500
user_0405,vaksel,1000,0,500
user_0406,vacri,1000,500,500
user_0407,usrusr,1000,0,500
user_0408,userbinator,1000,500,500
user_0409,user5994461,1000,500,500
user_0410,ur-whale,1000,0,500
user_0411,uoaei,1000,500,500
user_0412,untog,1000,0,500
user_0413,unixhero,1000,500,500
user_0414,unethical_ban,1000,500,500
user_0415,unalone,1000,0,500
user_0416,umvi,1000,0,500
user_0417,ummonk,1000,500,500
user_0418,umanwizard,1000,0,500
user_0419,ubernostrum,1000,0,500
user_0420,tzs,1000,0,500
user_0421,tyingq,1000,500,500
user_0422,tomcam,1000,500,500
user_0423,tombert,1000,500,500
user_0424,varjag,1000,0,500
user_0425,teekert,1000,0,500
user_0426,the_af,1000,0,500
user_0427,the8472,1000,0,500
user_0428,thaumaturgy,1000,0,500
user_0429,thaumasiotes,1000,0,500
user_0430,tgv,1000,500,500
user_0431,tgsovlerkhgsel,1000,0,500
user_0432,tempodox,1000,0,500
user_0433,tempestn,1000,500,500
user_0434,tel,1000,500,500
user_0435,tedunangst,1000,0,500
user_0436,tokenadult,1000,0,500
user_0437,tedmiston,1000,0,500
user_0438,teddyh,1000,500,500
user_0439,taylodl,1000,500,500
user_0440,taurath,1000,0,500
user_0441,tantalor,1000,500,500
user_0442,taneq,1000,500,500
user_0443,tambourine_man,1000,0,500
user_0444,talmand,1000,0,500
user_0445,taeric,1000,0,500
user_0446,the_mitsuhiko,1000,500,500
user_0447,theamk,1000,500,500
user_0448,theandrewbailey,1000,0,500
user_0449,themodelplumber,1000,500,500
user_0450,toast0,1000,0,500
user_0451,tmaly,1000,0,500
user_0452,tluyben2,1000,0,500
user_0453,tlrobinson,1000,500,500
user_0454,tlb,1000,500,500
user_0455,titzer,1000,0,500
user_0456,tinus_hn,1000,0,500
user_0457,timr,1000,0,500
user_0458,tim333,1000,0,500
user_0459,tialaramex,1000,0,500
user_0460,throwaway894345,1000,500,500
user_0461,throwaway290,1000,0,500
user_0462,throwaway2037,1000,0,500
user_0463,throwanem,1000,500,500
user_0464,throw0101a,1000,0,500
user_0465,threeseed,1000,500,500
user_0466,threatofrain,1000,500,500
user_0467,thfuran,1000,0,500
user_0468,theshrike79,1000,0,500
user_0469,varispeed,1000,500,500
user_0470,vasco,1000,500,500
user_0471,prmoustache,1000,500,500
user_0472,x0x0,1000,500,500
user_0473,yencabulator,1000,0,500
user_0474,yellowapple,1000,500,500
user_0475,yardie,1000,0,500
user_0476,xyzzyz,1000,0,500
user_0477,xwdv,1000,0,500
user_0478,xorcist,1000,0,500
user_0479,xnx,1000,500,500
user_0480,xiphias2,1000,500,500
user_0481,xg15,1000,0,500
user_0482,wyldfire,1000,500,500
user_0483,woodruffw,1000,0,500
user_0484,wyclif,1000,0,500
user_0485,wyager,1000,500,500
user_0486,ww520,1000,0,500
user_0487,wvenable,1000,500,500
user_0488,wutbrodo,1000,0,500
user_0489,wtallis,1000,500,500
user_0490,wslh,1000,0,500
user_0491,wruza,1000,0,500
user_0492,wpietri,1000,0,500
user_0493,yesenadam,1000,500,500
user_0494,yieldcrv,1000,0,500
user_0495,yjftsjthsd-h,1000,0,500
user_0496,yorwba,1000,0,500
user_0497,zokier,1000,0,500
user_0498,zo1,1000,500,500
user_0499,znpy,1000,500,500
user_0500,zmmmmm,1000,0,500
user_0501,zitterbewegung,1000,500,500
user_0502,zimpenfish,1000,0,500
user_0503,zepto,1000,0,500
user_0504,zem,1000,0,500
user_0505,zelphirkalt,1000,0,500
user_0506,zdragnar,1000,500,500
user_0507,zaroth,1000,0,500
user_0508,zanny,1000,0,500
user_0509,zamalek,1000,0,500
user_0510,zamadatix,1000,0,500
user_0511,zaarn,1000,0,500
user_0512,z3t4,1000,500,500
user_0513,yummyfajitas,1000,500,500
user_0514,yuhong,1000,0,500
user_0515,yters,1000,500,500
user_0516,worik,1000,0,500
user_0517,wongarsu,1000,0,500
user_0518,vbezhenar,1000,500,500
user_0519,voltagex_,1000,500,500
user_0520,walshemj,1000,500,500
user_0521,walrus01,1000,500,500
user_0522,wallflower,1000,500,500
user_0523,wahnfrieden,1000,0,500
user_0524,wahern,1000,0,500
user_0525,w1ntermute,1000,0,500
user_0526,vram22,1000,0,500
user_0527,vorpalhex,1000,500,500
user_0528,vonmoltke,1000,0,500
user_0529,vlovich123,1000,0,500
user_0530,wolverine876,1000,500,500
