T_level,user_id,input_path,output_path,status,error,input_words,output_words,model
T3,user_043ea160,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T3/user_043ea160.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T3/user_043ea160.txt,ok,,1311,303,gpt-4o-mini
T3,user_04d29f9c,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T3/user_04d29f9c.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T3/user_04d29f9c.txt,ok,,1221,332,gpt-4o-mini
T3,user_04d8419e,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T3/user_04d8419e.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T3/user_04d8419e.txt,ok,,923,277,gpt-4o-mini
T4,user_0168255c,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T4/user_0168255c.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T4/user_0168255c.txt,ok,,1089,296,gpt-4o-mini
T4,user_02016939,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T4/user_02016939.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T4/user_02016939.txt,ok,,1741,327,gpt-4o-mini
T4,user_0285dee3,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T4/user_0285dee3.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T4/user_0285dee3.txt,ok,,666,304,gpt-4o-mini
T4,user_02d03e8a,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T4/user_02d03e8a.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T4/user_02d03e8a.txt,ok,,1327,330,gpt-4o-mini
T4,user_02d8a1f8,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T4/user_02d8a1f8.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T4/user_02d8a1f8.txt,ok,,933,310,gpt-4o-mini
T4,user_02fecea2,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T4/user_02fecea2.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T4/user_02fecea2.txt,ok,,741,313,gpt-4o-mini
T4,user_03410579,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T4/user_03410579.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T4/user_03410579.txt,ok,,2042,334,gpt-4o-mini
