user_id,input_path,output_path,status,error,original_input_words,sent_input_words,was_truncated,output_words,model
user_095ff43e,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_095ff43e.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_095ff43e.txt,skipped_existing,,8161,8161,0,370,gpt-4o-mini
user_09dea596,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_09dea596.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_09dea596.txt,skipped_existing,,30001,25000,1,349,gpt-4o-mini
user_0a0bcaa6,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_0a0bcaa6.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_0a0bcaa6.txt,skipped_existing,,13953,13953,0,339,gpt-4o-mini
user_0a245f61,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_0a245f61.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_0a245f61.txt,skipped_existing,,22114,22114,0,413,gpt-4o-mini
user_0a3bcf86,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_0a3bcf86.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_0a3bcf86.txt,skipped_existing,,14868,14868,0,330,gpt-4o-mini
user_0a3f46b9,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_0a3f46b9.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_0a3f46b9.txt,skipped_existing,,11306,11306,0,366,gpt-4o-mini
user_0b1b1d1c,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_0b1b1d1c.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_0b1b1d1c.txt,skipped_existing,,12234,12234,0,341,gpt-4o-mini
user_0b5c256a,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_0b5c256a.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_0b5c256a.txt,skipped_existing,,32871,25000,1,341,gpt-4o-mini
user_0b64b183,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_0b64b183.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_0b64b183.txt,skipped_existing,,7101,7101,0,307,gpt-4o-mini
user_0bc8e727,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_0bc8e727.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_0bc8e727.txt,skipped_existing,,15570,15570,0,318,gpt-4o-mini
